Hora,Temperatura,Estimulo
13:38:53,30.75,100
13:39:04,30.80,100
13:39:15,30.70,100
13:39:26,30.93,100
13:39:37,30.82,100
13:39:48,30.77,100
13:39:59,31.07,100
13:40:10,31.27,100
13:40:21,31.60,100
13:40:33,32.20,100
13:40:44,32.90,100
13:40:55,33.62,100
13:41:06,34.83,100
13:41:17,36.30,100
13:41:28,37.85,100
13:41:39,39.58,100
13:41:50,41.55,100
13:42:01,44.08,100
13:42:12,46.38,100
13:42:23,48.70,100
13:42:34,51.45,100
13:42:46,54.35,100
13:42:57,57.02,100
13:43:08,59.85,100
13:43:19,62.77,100
13:43:30,65.75,100
13:43:41,68.75,100
13:43:52,71.75,100
13:44:03,74.58,100
13:44:14,77.53,100
13:44:25,80.42,100
13:44:36,83.38,100
13:44:48,86.28,100
13:44:59,89.00,100
13:45:10,91.50,100
13:45:21,94.30,100
13:45:32,96.70,100
13:45:43,99.50,100
13:45:54,102.00,100
13:46:05,104.50,100
13:46:16,106.67,100
13:46:27,109.30,100
13:46:39,111.65,100
13:46:50,114.12,100
13:47:01,116.30,100
13:47:12,118.25,100
13:47:23,120.03,100
13:47:34,121.88,100
13:47:45,123.83,100
13:47:56,126.05,100
13:48:07,128.18,100
13:48:18,130.38,100
13:48:30,132.35,100
13:48:41,133.80,100
13:48:52,134.90,100
13:49:03,136.78,100
13:49:14,138.78,100
13:49:25,141.12,100
13:49:36,143.18,100
13:49:47,145.20,100
13:49:58,146.50,100
13:50:09,147.45,100
13:50:21,148.43,100
13:50:32,150.05,100
13:50:43,151.80,100
13:50:54,153.60,100
13:51:05,155.65,100
13:51:16,157.43,100
13:51:27,158.80,100
13:51:38,160.03,100
13:51:49,161.15,100
13:52:00,162.50,100
13:52:11,163.85,100
13:52:23,165.38,100
13:52:34,166.18,100
13:52:45,166.78,100
13:52:56,167.90,100
13:53:07,169.62,100
13:53:18,171.32,100
13:53:29,172.53,100
13:53:40,173.82,100
13:53:51,175.05,100
13:54:02,176.10,100
13:54:13,177.43,100
13:54:25,178.95,100
13:54:36,180.20,100
13:54:47,181.35,100
13:54:58,182.35,100
13:55:09,182.85,100
13:55:20,182.82,100
13:55:31,183.03,100
13:55:42,184.07,100
13:55:53,185.43,100
13:56:05,187.10,100
13:56:16,188.72,100
13:56:27,189.62,100
13:56:38,189.88,100
13:56:49,190.93,100
13:57:00,192.60,100
13:57:11,194.18,100
13:57:22,195.85,100
13:57:33,196.88,100
13:57:44,197.43,100
13:57:55,197.72,100
13:58:06,198.30,100
13:58:18,199.32,100
13:58:29,200.68,100
13:58:40,202.28,100
13:58:51,203.75,100
13:59:02,205.28,100
13:59:13,206.53,100
13:59:24,207.68,100
13:59:35,208.43,100
13:59:46,209.45,100
13:59:58,210.68,100
14:00:09,211.35,100
14:00:20,211.85,100
14:00:31,212.53,100
14:00:42,213.30,100
14:00:53,214.28,100
14:01:04,215.28,100
14:01:15,216.38,100
14:01:26,217.47,100
14:01:37,218.88,100
14:01:48,219.85,100
14:01:59,220.70,100
14:02:11,221.38,100
14:02:22,222.55,100
14:02:33,223.88,100
14:02:44,224.93,100
14:02:55,226.15,100
14:03:06,227.28,100
14:03:17,228.22,100
14:03:28,229.15,100
14:03:39,229.88,100
14:03:50,230.47,100
14:04:01,231.22,100
14:04:12,231.93,100
14:04:24,232.45,100
14:04:35,233.18,100
14:04:46,233.95,100
14:04:57,234.93,100
14:05:08,235.72,100
14:05:19,236.43,100
14:05:30,236.82,100
14:05:41,237.38,100
14:05:52,238.40,100
14:06:03,238.93,100
14:06:15,239.70,100
14:06:26,240.55,100
14:06:37,241.47,100
14:06:48,242.35,100
14:06:59,242.95,100
14:07:10,243.75,100
14:07:21,244.15,100
14:07:32,243.97,100
14:07:43,244.25,100
14:07:55,244.62,100
14:08:06,244.80,100
14:08:17,245.78,100
14:08:28,246.68,100
14:08:39,247.60,100
14:08:50,248.72,100
14:09:01,249.40,100
14:09:12,250.07,100
14:09:23,250.88,100
14:09:34,251.75,100
14:09:45,252.82,100
14:09:57,253.18,100
14:10:08,253.85,100
14:10:19,254.30,100
14:10:30,255.20,100
14:10:41,256.10,100
14:10:52,256.70,100
14:11:03,257.32,100
14:11:14,257.75,100
14:11:25,258.35,100
14:11:36,259.05,100
14:11:47,259.18,100
14:11:59,259.52,100
14:12:10,260.05,100
14:12:21,260.20,100
14:12:32,260.45,100
14:12:43,261.05,100
14:12:54,261.75,100
14:13:05,262.62,100
14:13:16,263.40,100
14:13:27,263.70,100
14:13:38,264.12,100
14:13:49,265.12,100
14:14:00,266.07,100
14:14:12,267.20,100
14:14:23,267.82,100
14:14:34,268.30,100
14:14:45,268.73,100
14:14:56,269.23,100
14:15:07,269.15,100
14:15:18,269.55,100
14:15:29,269.65,100
14:15:40,269.77,100
14:15:51,270.45,100
14:16:03,270.93,100
14:16:14,271.43,100
14:16:25,271.52,100
14:16:36,271.65,100
14:16:47,272.18,100
14:16:58,272.73,100
14:17:09,273.32,100
14:17:20,274.05,100
14:17:32,273.98,100
14:17:43,273.62,100
14:17:54,273.45,100
14:18:05,273.73,100
14:18:16,274.52,100
14:18:27,275.15,100
14:18:38,275.52,100
14:18:49,276.05,100
14:19:01,276.73,100
14:19:12,277.00,100
14:19:23,277.23,100
14:19:34,277.62,100
14:19:45,278.35,100
14:19:56,278.80,100
14:20:07,278.65,100
14:20:18,278.68,100
14:20:29,279.18,100
14:20:40,279.65,100
14:20:51,280.07,100
14:21:03,280.55,100
14:21:14,281.23,100
14:21:25,281.95,100
14:21:36,282.00,100
14:21:47,281.52,100
14:21:58,281.82,100
14:22:09,282.77,100
14:22:20,283.93,100
14:22:31,284.98,100
14:22:42,285.93,100
14:22:54,286.98,100
14:23:05,287.85,100
14:23:16,288.75,100
14:23:27,289.62,100
14:23:38,290.23,100
14:23:49,290.82,100
14:24:00,291.43,100
14:24:11,291.75,100
14:24:22,292.18,100
14:24:33,292.40,100
14:24:44,292.90,100
14:24:55,293.10,100
14:25:07,293.45,100
14:25:18,293.73,100
14:25:29,293.98,100
14:25:40,294.30,100
14:25:52,294.60,100
14:26:03,294.75,100
14:26:14,294.82,100
14:26:25,295.12,100
14:26:36,295.50,100
14:26:47,295.68,100
14:26:58,295.98,100
14:27:09,296.15,100
14:27:20,296.32,100
14:27:31,296.43,100
14:27:43,296.62,100
14:27:54,296.70,100
14:28:05,297.05,100
14:28:16,297.12,100
14:28:27,297.50,100
14:28:38,297.73,100
14:28:49,297.82,100
14:29:00,297.90,100
14:29:11,298.23,100
14:29:22,298.27,100
14:29:33,298.57,0
14:29:44,298.55,0
14:29:56,298.85,0
14:30:07,298.95,0
14:30:18,299.38,0
14:30:29,299.60,0
14:30:40,299.55,0
14:30:51,299.40,0
14:31:02,299.23,0
14:31:13,298.88,0
14:31:24,298.48,0
14:31:35,297.55,0
14:31:46,296.65,0
14:31:57,295.62,0
14:32:09,294.38,0
14:32:20,293.23,0
14:32:31,291.80,0
14:32:42,290.50,0
14:32:53,288.93,0
14:33:04,287.25,0
14:33:15,285.75,0
14:33:26,284.15,0
14:33:37,282.48,0
14:33:49,280.77,0
14:34:00,279.40,0
14:34:11,277.85,0
14:34:22,276.20,0
14:34:33,274.25,0
14:34:44,272.82,0
14:34:55,270.98,0
14:35:06,269.48,0
14:35:17,267.85,0
14:35:29,266.18,0
14:35:40,264.65,0
14:35:51,263.00,0
14:36:02,261.32,0
14:36:13,259.75,0
14:36:24,258.27,0
14:36:35,257.00,0
14:36:46,255.60,0
14:36:57,254.03,0
14:37:08,252.50,0
14:37:20,251.12,0
14:37:31,249.75,0
14:37:42,248.50,0
14:37:53,247.00,0
14:38:04,245.70,0
14:38:16,244.32,0
14:38:27,243.07,0
14:38:38,241.72,0
14:38:49,240.57,0
14:39:00,239.15,0
14:39:11,237.95,0
14:39:22,236.68,0
14:39:33,235.38,0
14:39:44,234.22,0
14:39:55,232.82,0
14:40:06,231.90,0
14:40:18,230.70,0
14:40:29,229.28,0
14:40:40,228.12,0
14:40:51,226.95,0
14:41:02,225.82,0
14:41:13,224.57,0
14:41:24,223.47,0
14:41:35,222.35,0
14:41:46,221.15,0
14:41:57,220.12,0
14:42:09,219.10,0
14:42:20,217.88,0
14:42:31,216.72,0
14:42:42,215.72,0
14:42:53,214.60,0
14:43:04,213.35,0
14:43:15,212.38,0
14:43:26,211.45,0
14:43:37,210.20,0
14:43:48,209.00,0
14:44:00,208.00,0
14:44:11,206.82,0
14:44:22,205.90,0
14:44:33,204.95,0
14:44:44,203.88,0
14:44:55,202.85,0
14:45:06,201.88,0
14:45:17,200.70,0
14:45:28,199.82,0
14:45:39,198.72,0
14:45:50,197.82,0
14:46:01,196.85,0
14:46:13,195.80,0
14:46:24,195.05,100
14:46:35,193.95,100
14:46:46,193.03,100
14:46:57,192.15,100
14:47:08,191.38,100
14:47:19,190.50,100
14:47:30,189.97,100
14:47:41,189.43,100
14:47:52,189.10,100
14:48:04,188.97,100
14:48:15,188.93,100
14:48:26,189.18,100
14:48:37,189.57,100
14:48:48,189.90,100
14:48:59,190.68,100
14:49:10,191.15,100
14:49:21,192.25,100
14:49:32,193.12,100
14:49:44,194.28,100
14:49:55,195.47,100
14:50:06,196.68,100
14:50:17,197.82,100
14:50:28,199.15,100
14:50:39,200.53,100
14:50:50,201.80,100
14:51:01,203.22,100
14:51:12,204.50,100
14:51:23,205.75,100
14:51:35,207.10,100
14:51:46,208.32,100
14:51:57,209.65,100
14:52:08,210.90,100
14:52:19,211.97,100
14:52:30,212.97,100
14:52:41,214.28,100
14:52:52,215.38,100
14:53:04,216.50,100
14:53:15,217.53,100
14:53:26,218.72,100
14:53:37,219.78,100
14:53:48,220.93,100
14:53:59,221.93,100
14:54:10,222.68,100
14:54:21,223.65,100
14:54:32,224.75,100
14:54:43,225.72,100
14:54:54,226.50,100
14:55:06,227.43,100
14:55:17,228.38,100
14:55:28,229.07,100
14:55:39,230.03,100
14:55:50,230.72,100
14:56:01,231.50,100
14:56:12,232.28,100
14:56:23,233.10,100
14:56:34,233.95,100
14:56:45,234.82,100
14:56:56,235.47,100
14:57:07,236.32,100
14:57:19,236.82,100
14:57:30,237.68,100
14:57:41,238.30,100
14:57:52,239.05,0
14:58:03,239.75,0
14:58:14,240.45,0
14:58:25,240.90,0
14:58:36,241.35,0
14:58:47,241.45,0
14:58:58,241.68,0
14:59:10,241.50,0
14:59:21,241.25,0
14:59:32,240.72,0
14:59:43,240.15,0
14:59:54,239.28,0
15:00:05,238.45,0
15:00:16,237.57,0
15:00:27,236.47,0
15:00:38,235.55,0
15:00:49,234.43,0
15:01:00,233.18,0
15:01:12,231.88,0
15:01:23,230.60,0
15:01:34,229.28,0
15:01:45,227.97,0
15:01:56,226.78,0
15:02:07,225.35,0
15:02:18,224.25,0
15:02:29,222.85,0
15:02:40,221.47,0
15:02:52,220.10,0
15:03:03,218.78,0
15:03:14,217.47,0
15:03:25,216.20,0
15:03:36,215.00,0
15:03:47,213.90,0
15:03:58,212.53,0
15:04:09,211.45,0
15:04:20,210.32,0
15:04:32,209.30,0
15:04:43,208.10,0
15:04:54,206.95,0
15:05:05,205.93,0
15:05:16,204.65,0
15:05:27,203.57,0
15:05:38,202.47,0
15:05:49,201.38,0
15:06:00,200.15,0
15:06:12,199.28,0
15:06:23,198.38,0
15:06:34,197.32,0
15:06:45,196.40,0
15:06:56,195.40,0
15:07:07,194.40,0
15:07:18,193.55,0
15:07:29,192.55,0
15:07:40,191.40,0
15:07:52,190.47,0
15:08:03,189.22,0
15:08:14,188.57,0
15:08:25,187.72,0
15:08:36,186.70,0
15:08:47,185.82,0
15:08:58,184.82,0
15:09:09,183.95,0
15:09:20,183.10,0
15:09:31,182.07,0
15:09:43,181.45,0
15:09:54,180.60,0
15:10:05,179.65,0
15:10:16,178.78,0
15:10:27,178.05,0
15:10:38,177.10,0
15:10:49,176.20,0
15:11:00,175.62,0
15:11:11,174.75,0
15:11:22,173.85,0
15:11:33,173.07,0
15:11:45,172.38,0
15:11:56,171.53,0
15:12:07,170.80,0
15:12:18,170.03,0
15:12:29,169.25,0
15:12:40,168.43,0
15:12:51,167.57,0
15:13:02,166.97,0
15:13:13,166.25,0
15:13:24,165.43,0
15:13:35,164.75,0
15:13:46,164.05,0
15:13:57,163.38,0
15:14:09,162.57,0
15:14:20,161.90,0
15:14:31,161.18,0
15:14:42,160.50,0
15:14:53,159.47,0
15:15:04,158.60,0
15:15:15,157.97,0
15:15:26,157.38,0
15:15:37,156.75,0
15:15:48,156.20,0
15:15:59,155.47,0
15:16:11,154.90,0
15:16:22,154.15,0
15:16:33,153.50,0
15:16:44,152.75,0
15:16:55,152.05,0
15:17:06,151.18,0
15:17:17,150.68,0
15:17:28,150.05,0
15:17:40,149.38,0
15:17:51,148.82,0
15:18:02,148.22,0
15:18:13,147.43,0
15:18:24,146.93,0
15:18:35,146.35,0
15:18:46,145.70,0
15:18:57,144.88,0
15:19:08,144.32,0
15:19:19,143.65,0
15:19:31,143.03,0
15:19:42,142.35,0
15:19:53,141.68,0
15:20:04,141.07,0
15:20:15,140.35,0
15:20:26,139.88,0
15:20:37,139.32,0
15:20:48,138.57,0
15:20:59,138.07,0
15:21:10,137.62,0
15:21:22,136.70,0
15:21:33,136.07,0
15:21:44,135.60,0
15:21:55,135.03,0
15:22:06,134.45,0
15:22:17,133.78,0
15:22:28,133.25,0
15:22:39,132.70,0
15:22:50,132.30,0
15:23:01,131.60,0
15:23:13,130.97,0
15:23:24,130.57,0
15:23:35,129.78,0
15:23:46,129.20,0
15:23:57,128.82,0
15:24:08,128.18,0
15:24:19,127.70,0
15:24:30,127.12,0
15:24:42,126.72,0
15:24:53,126.20,0
15:25:04,125.60,0
15:25:15,125.08,0
15:25:26,124.60,0
15:25:37,124.00,0
15:25:48,123.35,0
15:25:59,122.83,0
15:26:10,122.22,0
15:26:21,121.75,0
15:26:32,121.42,0
15:26:43,120.83,0
15:26:55,120.35,0
15:27:06,119.80,0
15:27:17,119.40,0
15:27:28,118.78,0
15:27:39,118.30,0
15:27:50,117.75,0
15:28:01,117.40,0
15:28:12,116.83,0
15:28:23,116.58,0
15:28:34,116.05,0
15:28:46,115.47,0
15:28:57,115.15,0
15:29:08,114.45,0
15:29:19,114.17,0
15:29:30,113.58,0
15:29:41,113.20,0
15:29:52,112.53,0
15:30:03,112.22,0
15:30:14,111.80,0
15:30:25,111.30,0
15:30:36,110.72,0
15:30:47,110.38,0
15:30:59,110.00,0
15:31:10,109.55,0
15:31:21,109.00,0
15:31:32,108.60,0
15:31:43,108.20,0
15:31:54,107.72,0
15:32:05,107.47,0
15:32:16,106.97,0
15:32:27,106.50,0
15:32:39,106.15,0
15:32:50,105.70,0
15:33:01,105.20,0
15:33:12,104.88,0
15:33:23,104.55,0
15:33:34,104.03,0
15:33:45,103.72,0
15:33:56,103.40,0
15:34:07,102.95,0
15:34:19,102.58,0
15:34:30,102.10,0
15:34:41,101.80,0
15:34:52,101.42,0
15:35:03,100.95,0
15:35:14,100.60,0
15:35:25,100.30,0
15:35:36,99.90,0
